co_nombre,co_finalidad,co_direccion,co_telefono1,co_contacto1,co_telefono2,co_contacto2,co_telefono3,co_contacto3,co_website,co_banco,co_cuenta_destino,co_pago,co_vendedor,co_sonido,co_comentarios,co_fecha,co_fecha_act,co_estado,co_operador,co_terminal,co_mora,co_comision,co_rnc
CLIENTES SEGUIMIENTO MOISES,SEGUIMIENTO,0,0,0,,,,,,2,9602119269,2,2,NULL,,48:39.6,47:02.3,0,opaulino,GERENCIA,0,0.5,131-37045-4
CLIENTES SIN DEUDAS,OOOOOOOOOO,OOOOOOOOOOO,0,OOOOOOOOOO,,,,,,7,,2,1,NULL,,54:57.4,25:50.8,1,opaulino,GERENCIA,0,0.5,131-37045-4
COBROS MENSUALES BANCO POPULAR,VENTAS DE PRODUCTOS NATURALES ,KM.13. AUTPISTA DUARTE,8095617565,FIODALIZA DE LEON ,,,,,,5,795319581,3,0,NULL,,36:46.4,57:54.6,0,admin,DESKTOP-GSN33LR,NULL,NULL,NULL
COBROS MENSUALES BANRESERVAS ,SERVICIOS PUBLICOS,av. leopordo navarro esq. francia,8096837777,,2533,,,,,2,7900004964,3,0,NULL,,58:21.9,58:47.1,0,admin,DESKTOP-GSN33LR,NULL,NULL,NULL
COLEGIO DON BOSCO,EDUCACION,CALLE SAN JUAN BOSCO #27 ,8096822237,REC,,,,,,2,300118368,3,0,NULL,,17:13.9,20:44.3,1,mmoris,DESKTOP-GSN33LR,0,0,131-37045-4
CONJELADOS DEL CARIBE BHD,DISTRIBUCION (GRUPO ALONSO),BAVARO,0,0,,,,,,1,11387790035,2,0,NULL,,26:57.8,25:08.2,0,OPAULINO,APPSERVER,NULL,NULL,NULL
CONSORCIO REMIX,CONSTRUCCION,BAVARO,0,0,,,,,,5,795319581,3,0,NULL,,52:13.7,46:12.9,0,admin,DELL-PC,NULL,NULL,NULL
CONSORCIO REMIX MENSUAL,CONSTRUCCION,bavaro,0,0,,,,,,5,795319581,3,0,NULL,,33:30.2,28:44.8,0,opaulino,APPSERVER,NULL,NULL,NULL
CONSTRUTORA MARIAL S.A,CONSTRUCION Y EXCAVACIONES., Ciudad Sanitaria Dr. Luis E. Aybar. en la Calle Federico Vel zquez No.1. Barrio Mejoramiento Social. de la ciudad de Santo Domingo. DN.,8096848690,REC,,,,,,2,300118368,2,0,NULL,,54:54.2,33:11.9,1,Jalvarez,DESKTOP-GSN33LR,0,0,131-37045-4
CXC REPRESENTANTE ,0,0,0,0,,,,,,7,,2,0,NULL,,01:46.2,36:09.5,0,rrodriguez,APPSERVER,NULL,NULL,NULL
